symbol,radar,accion,score,discard_code,execution_code,quality,freshness,recent,historical,exec_ready,warnings
AVGO,DESCARTAR,DESCARTAR,47.9,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
AMZN,DESCARTAR,DESCARTAR,47.2,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
BSP.DE,DESCARTAR,DESCARTAR,47.2,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
VRTX,DESCARTAR,DESCARTAR,47.2,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
SU.PA,DESCARTAR,DESCARTAR,47.2,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
RRU.DE,DESCARTAR,DESCARTAR,47.2,LOW_SCORE,MISSING_RECENT_DATA,INCOMPLETO,FreshnessState.STALE_1,Severity.MEDIUM,Severity.OK,no,
LRCX,DESCARTAR,DESCARTAR,46.6,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
7203.T,DESCARTAR,DESCARTAR,46.0,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
7011.T,DESCARTAR,DESCARTAR,45.4,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
005930.KS,DESCARTAR,DESCARTAR,45.4,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
ORCL,DESCARTAR,DESCARTAR,45.4,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
NFLX,DESCARTAR,DESCARTAR,44.7,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
TSLA,DESCARTAR,DESCARTAR,44.1,LOW_SCORE,BROKER_UNVERIFIED,OK,FreshnessState.FRESH,Severity.OK,Severity.OK,si,
