symbol,radar,accion,score,discard_code,execution_code,entry_max,entry_max_tecnica,entry_max_rr,manda
MRVL,VIGILAR,ESPERAR,65.375000,LOW_SCORE,EXECUTABLE,240.759995,250.954100,240.759995,rr
MSFT,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,EXECUTABLE,497.750000,505.435363,497.750000,rr
MU,VIGILAR,ESPERAR,62.875000,LOW_SCORE,EXECUTABLE,977.500000,1009.663754,977.500000,rr
MUV2.DE,DESCARTAR,DESCARTAR,51.000000,LOW_SCORE,MISSING_RECENT_DATA,511.600006,518.505366,511.600006,rr
NFLX,DESCARTAR,DESCARTAR,43.500000,LOW_SCORE,EXECUTABLE,75.309998,76.979283,75.309998,rr
NOVO-B.CO,DESCARTAR,DESCARTAR,49.750000,LOW_SCORE,MISSING_RECENT_DATA,278.495540,278.495540,280.553753,tecnica
NOW,DESCARTAR,DESCARTAR,56.625000,LOW_SCORE,EXECUTABLE,138.470001,143.470357,138.470001,rr
NVDA,DESCARTAR,DESCARTAR,57.250000,LOW_SCORE,EXECUTABLE,219.339996,224.191187,219.339996,rr
OR.PA,DESCARTAR,DESCARTAR,54.750000,LOW_SCORE,MISSING_RECENT_DATA,381.899994,387.932135,381.899994,rr
ORCL,DESCARTAR,DESCARTAR,49.125000,LOW_SCORE,EXECUTABLE,150.589996,156.647854,150.589996,rr
PANW,DESCARTAR,DESCARTAR,57.875000,LOW_SCORE,EXECUTABLE,375.059998,389.969463,375.059998,rr
PLTR,DESCARTAR,DESCARTAR,50.375000,LOW_SCORE,EXECUTABLE,176.240005,181.479184,176.240005,rr
Q8Y0.DE,DESCARTAR,DESCARTAR,47.250000,LOW_SCORE,STALE_DATA,22.382875,22.590624,22.382875,rr
QCOM,VIGILAR,ESPERAR,62.875000,LOW_SCORE,EXECUTABLE,188.710007,194.760204,188.710007,rr
QDV5.DE,DESCARTAR,DESCARTAR,49.750000,LOW_SCORE,STALE_DATA,7.400839,7.400839,7.407375,tecnica
R6C0.DE,DESCARTAR,DESCARTAR,58.500000,LOW_SCORE,MISSING_RECENT_DATA,41.840000,42.414554,41.840000,rr
